tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
step 4000: train loss 3.4241, val loss 3.4172
saving checkpoint to out2
iter 4000: loss 3.5559, time 126916.61ms, mfu -100.00%
iter 4040: loss 3.6079, time 13110.45ms, mfu 10.27%
iter 4080: loss 3.4254, time 13124.59ms, mfu 10.27%
iter 4120: loss 3.3760, time 13107.38ms, mfu 10.27%
iter 4160: loss 3.2807, time 13113.12ms, mfu 10.27%
iter 4200: loss 3.3852, time 13123.02ms, mfu 10.27%
iter 4240: loss 3.4318, time 13122.69ms, mfu 10.27%
iter 4280: loss 3.2608, time 12975.27ms, mfu 10.28%
iter 4320: loss 3.4932, time 13125.90ms, mfu 10.28%
iter 4360: loss 3.4383, time 13142.43ms, mfu 10.27%
iter 4400: loss 3.3925, time 13171.40ms, mfu 10.27%
iter 4440: loss 3.2375, time 13155.37ms, mfu 10.27%
iter 4480: loss 3.7609, time 13152.12ms, mfu 10.26%
iter 4520: loss 3.5199, time 13075.91ms, mfu 10.27%
iter 4560: loss 3.3055, time 13163.08ms, mfu 10.26%
iter 4600: loss 3.4828, time 13121.49ms, mfu 10.26%
iter 4640: loss 3.1652, time 13128.84ms, mfu 10.26%
iter 4680: loss 3.1719, time 13134.79ms, mfu 10.26%
iter 4720: loss 3.4096, time 13137.47ms, mfu 10.26%
iter 4760: loss 3.4164, time 13077.74ms, mfu 10.26%
iter 4800: loss 3.3525, time 13142.60ms, mfu 10.26%
iter 4840: loss 3.2410, time 13140.58ms, mfu 10.26%
iter 4880: loss 2.9534, time 13149.02ms, mfu 10.26%
iter 4920: loss 3.2391, time 13132.86ms, mfu 10.26%
iter 4960: loss 3.2268, time 13147.38ms, mfu 10.26%
iter 5000: loss 2.9937, time 13082.83ms, mfu 10.26%
iter 5040: loss 3.2415, time 13146.70ms, mfu 10.26%
iter 5080: loss 3.4297, time 13137.45ms, mfu 10.26%
iter 5120: loss 3.2501, time 13137.21ms, mfu 10.26%
iter 5160: loss 3.3458, time 13161.68ms, mfu 10.25%
iter 5200: loss 3.3100, time 13164.87ms, mfu 10.25%
iter 5240: loss 3.4151, time 13082.97ms, mfu 10.26%
iter 5280: loss 3.4883, time 13136.39ms, mfu 10.26%
iter 5320: loss 3.3778, time 13138.04ms, mfu 10.25%
iter 5360: loss 3.2180, time 13133.16ms, mfu 10.25%
iter 5400: loss 3.0523, time 13137.33ms, mfu 10.25%
iter 5440: loss 3.4231, time 13146.45ms, mfu 10.25%
iter 5480: loss 3.0687, time 13074.80ms, mfu 10.26%
iter 5520: loss 3.4426, time 13120.57ms, mfu 10.26%
iter 5560: loss 3.4902, time 13126.83ms, mfu 10.26%
iter 5600: loss 3.5693, time 13145.69ms, mfu 10.26%
iter 5640: loss 3.0562, time 13123.07ms, mfu 10.26%
iter 5680: loss 3.1932, time 13163.02ms, mfu 10.25%
iter 5720: loss 3.2271, time 13087.36ms, mfu 10.26%
iter 5760: loss 3.3127, time 13133.33ms, mfu 10.26%
iter 5800: loss 3.3203, time 13144.69ms, mfu 10.26%
iter 5840: loss 3.4737, time 13124.44ms, mfu 10.26%
iter 5880: loss 3.4289, time 13134.44ms, mfu 10.26%
iter 5920: loss 3.4930, time 13159.67ms, mfu 10.25%
